5.000000, -0.000414, 0.011087, 0.084486, 0.202180
4.990000, -0.000664, 0.011742, 0.086691, 0.216821
4.980000, -0.000358, 0.011043, 0.084048, 0.204550
4.970000, 0.000564, 0.011566, 0.086220, 0.212835
4.960000, -0.000741, 0.011037, 0.084202, 0.203708
4.950000, -0.000062, 0.010957, 0.084009, 0.201671
4.940000, 0.001989, 0.011000, 0.083995, 0.204415
4.930000, 0.002135, 0.011296, 0.084646, 0.214496
4.920000, 0.000331, 0.011613, 0.086164, 0.217934
4.910000, 0.002630, 0.011209, 0.084822, 0.209301
4.900000, -0.004634, 0.011293, 0.085113, 0.211508
4.890000, 0.005360, 0.011717, 0.086495, 0.221769
4.880000, 0.000861, 0.011813, 0.086936, 0.223218
4.870000, 0.001788, 0.011941, 0.086998, 0.229845
4.860000, 0.000499, 0.011577, 0.086074, 0.219544
4.850000, 0.002005, 0.011579, 0.086207, 0.218895
4.840000, 0.002775, 0.011696, 0.086477, 0.223064
4.830000, -0.002363, 0.011470, 0.085363, 0.221695
4.820000, 0.002045, 0.011715, 0.086327, 0.226395
4.810000, 0.000109, 0.011671, 0.086095, 0.226666
4.800000, 0.000850, 0.012048, 0.087694, 0.232390
4.790000, 0.001882, 0.011503, 0.085585, 0.223294
4.780000, -0.004131, 0.011860, 0.086894, 0.230780
4.770000, -0.005190, 0.011938, 0.087115, 0.233423
4.760000, 0.000802, 0.011712, 0.086734, 0.225331
4.750000, 0.004537, 0.011891, 0.086812, 0.234717
4.740000, 0.001570, 0.012029, 0.087957, 0.231834
4.730000, 0.000252, 0.012286, 0.088852, 0.237673
4.720000, -0.002778, 0.012233, 0.088472, 0.238953
4.710000, -0.002678, 0.012239, 0.088858, 0.236072
4.700000, 0.000389, 0.011893, 0.087295, 0.232701
4.690000, 0.000767, 0.012401, 0.089083, 0.243729
4.680000, 0.001758, 0.012401, 0.088898, 0.246027
4.670000, 0.001431, 0.012153, 0.087852, 0.243146
4.660000, -0.001493, 0.012388, 0.089310, 0.242343
4.650000, -0.000402, 0.012942, 0.091255, 0.254033
